sasong,hemma,borta,hemmamal,bortamal,resultat
2000,BK Astrio,BK Kenty,0,4,Bortaseger
2000,BK Astrio,Bälinge IF,0,6,Bortaseger
2000,BK Astrio,Djurgårdens IF,4,5,Bortaseger
2000,BK Astrio,Hammarby IF,0,3,Bortaseger
2000,BK Astrio,Kopparbergs/Landvetter IF,1,0,Hemmaseger
2000,BK Astrio,Kristianstad/Wä DFF,2,5,Bortaseger
2000,BK Astrio,Malmö FF,1,3,Bortaseger
2000,BK Astrio,Sundbybergs IK,1,3,Bortaseger
2000,BK Astrio,Umeå IK,0,6,Bortaseger
2000,BK Astrio,Älvsjö AIK,0,1,Bortaseger
2000,BK Astrio,Östers IF,2,0,Hemmaseger
2000,BK Kenty,BK Astrio,1,3,Bortaseger
2000,BK Kenty,Bälinge IF,2,1,Hemmaseger
2000,BK Kenty,Djurgårdens IF,1,1,Oavgjort
2000,BK Kenty,Hammarby IF,3,3,Oavgjort
2000,BK Kenty,Kopparbergs/Landvetter IF,1,1,Oavgjort
2000,BK Kenty,Kristianstad/Wä DFF,0,0,Oavgjort
2000,BK Kenty,Malmö FF,0,2,Bortaseger
2000,BK Kenty,Sundbybergs IK,2,2,Oavgjort
2000,BK Kenty,Umeå IK,1,2,Bortaseger
2000,BK Kenty,Älvsjö AIK,1,1,Oavgjort
2000,BK Kenty,Östers IF,0,2,Bortaseger
2000,Bälinge IF,BK Astrio,2,1,Hemmaseger
2000,Bälinge IF,BK Kenty,2,0,Hemmaseger
2000,Bälinge IF,Djurgårdens IF,1,1,Oavgjort
2000,Bälinge IF,Hammarby IF,1,3,Bortaseger
2000,Bälinge IF,Kopparbergs/Landvetter IF,0,3,Bortaseger
2000,Bälinge IF,Kristianstad/Wä DFF,2,2,Oavgjort
2000,Bälinge IF,Malmö FF,0,5,Bortaseger
2000,Bälinge IF,Sundbybergs IK,3,0,Hemmaseger
2000,Bälinge IF,Umeå IK,2,2,Oavgjort
2000,Bälinge IF,Älvsjö AIK,2,2,Oavgjort
2000,Bälinge IF,Östers IF,4,3,Hemmaseger
