datum,sasong,hemma,borta,hemmamal,bortamal
1924-08-03,1924_1925,Örgryte,Hammarby,5,1
1924-08-03,1924_1925,IFK Norrköping,Landskrona,0,1
1924-08-03,1924_1925,IFK Malmö,IFK Göteborg,1,1
1924-08-03,1924_1925,Helsingborg,Gais,1,2
1924-08-03,1924_1925,Eskilstuna,Sleipner,1,3
1924-08-03,1924_1925,AIK,Västerås IK,5,1
1924-08-08,1924_1925,IFK Göteborg,Gais,1,3
1924-08-10,1924_1925,Västerås IK,Eskilstuna,0,1
1924-08-10,1924_1925,Sleipner,Örgryte,0,1
1924-08-10,1924_1925,Landskrona,IFK Göteborg,0,4
1924-08-10,1924_1925,Helsingborg,IFK Malmö,4,2
1924-08-10,1924_1925,Hammarby,AIK,1,7
1924-08-10,1924_1925,Gais,IFK Norrköping,3,2
1924-08-15,1924_1925,IFK Norrköping,Sleipner,3,2
1924-08-15,1924_1925,Gais,Örgryte,1,1
1924-08-17,1924_1925,IFK Malmö,Örgryte,0,1
1924-08-17,1924_1925,Landskrona,Helsingborg,1,1
1924-08-17,1924_1925,IFK Göteborg,Västerås IK,8,1
1924-08-17,1924_1925,Eskilstuna,Hammarby,7,2
1924-08-17,1924_1925,AIK,Sleipner,3,2
1924-08-22,1924_1925,IFK Göteborg,Örgryte,2,2
1924-08-24,1924_1925,Sleipner,Gais,1,2
1924-08-24,1924_1925,IFK Malmö,Västerås IK,3,3
1924-08-24,1924_1925,Helsingborg,Eskilstuna,3,2
1924-08-24,1924_1925,Hammarby,Landskrona,3,3
1924-08-24,1924_1925,IFK Göteborg,AIK,1,0
1924-08-31,1924_1925,Örgryte,AIK,5,1
1924-08-31,1924_1925,IFK Norrköping,Eskilstuna,2,1
1924-08-31,1924_1925,Hammarby,Sleipner,3,3
1924-09-07,1924_1925,Västerås IK,AIK,1,3
1924-09-07,1924_1925,Sleipner,Eskilstuna,2,1
1924-09-07,1924_1925,Landskrona,Örgryte,0,5
1924-09-07,1924_1925,Hammarby,IFK Norrköping,1,2
1924-09-07,1924_1925,Gais,Helsingborg,3,2
1924-09-14,1924_1925,Örgryte,Landskrona,4,1
1924-09-14,1924_1925,Västerås IK,IFK Göteborg,1,5
1924-09-14,1924_1925,IFK Norrköping,Hammarby,2,0
1924-09-14,1924_1925,Helsingborg,Sleipner,1,0
1924-09-14,1924_1925,Eskilstuna,Gais,1,2
1924-09-14,1924_1925,AIK,IFK Malmö,6,3
1924-09-21,1924_1925,Västerås IK,Gais,1,1
1924-09-21,1924_1925,Landskrona,IFK Malmö,2,4
1924-09-21,1924_1925,IFK Göteborg,Helsingborg,2,1
1924-09-28,1924_1925,Örgryte,IFK Norrköping,3,0
1924-09-28,1924_1925,IFK Malmö,Eskilstuna,8,3
1924-09-28,1924_1925,Landskrona,AIK,3,0
1924-09-28,1924_1925,Helsingborg,Västerås IK,5,0
1924-09-28,1924_1925,Hammarby,IFK Göteborg,0,6
1924-10-05,1924_1925,Sleipner,Västerås IK,2,0
1924-10-05,1924_1925,IFK Malmö,Hammarby,3,1
1924-10-05,1924_1925,Landskrona,Gais,0,0
1924-10-05,1924_1925,IFK Göteborg,IFK Norrköping,3,1
1924-10-05,1924_1925,Eskilstuna,Örgryte,1,4
1924-10-05,1924_1925,AIK,Helsingborg,5,2
1924-10-12,1924_1925,Västerås IK,Landskrona,2,2
1924-10-12,1924_1925,Sleipner,IFK Malmö,1,1
1924-10-12,1924_1925,Helsingborg,Örgryte,1,1
1924-10-12,1924_1925,Gais,Hammarby,5,1
1924-10-12,1924_1925,Eskilstuna,IFK Göteborg,2,8
1924-10-12,1924_1925,AIK,IFK Norrköping,5,0
1924-10-19,1924_1925,Västerås IK,Sleipner,1,2
1924-10-19,1924_1925,IFK Norrköping,IFK Göteborg,4,1
1924-10-19,1924_1925,Helsingborg,AIK,1,0
1924-10-19,1924_1925,Hammarby,IFK Malmö,1,1
1924-10-19,1924_1925,Gais,Landskrona,6,0
1924-10-26,1924_1925,Örgryte,Eskilstuna,3,2
1924-10-26,1924_1925,Västerås IK,Hammarby,1,1
1924-10-26,1924_1925,IFK Norrköping,Helsingborg,0,4
1924-10-26,1924_1925,IFK Malmö,Gais,0,3
1924-10-26,1924_1925,Landskrona,Sleipner,1,0
1924-10-26,1924_1925,AIK,IFK Göteborg,3,4
1924-11-02,1924_1925,Sleipner,IFK Göteborg,2,2
1924-11-02,1924_1925,IFK Malmö,IFK Norrköping,4,1
1924-11-02,1924_1925,Hammarby,Helsingborg,0,6
1924-11-02,1924_1925,Gais,AIK,2,1
1924-11-02,1924_1925,Eskilstuna,Landskrona,5,0
