Hemmalag,Bortalag,Hemmamål,Bortamål,Publik,Domare,Arena,Datum,Säsong
Örgryte,Örebro,0,2,2100,Erik Fredriksson,NA,1990-04-04,1990
AIK,Brage,1,0,3461,Håkan Lundgren,NA,1990-04-04,1990
IFK Norrköping,IFK Göteborg,6,0,2491,Örjan Andersson,NA,1990-04-07,1990
Malmö FF,Djurgården,0,0,5106,Christer Drottz,NA,1990-04-08,1990
Hammarby,Halmstad,1,2,5467,Bo Persson,NA,1990-04-08,1990
Gais,Öster,3,0,4839,Rune Larsson,NA,1990-04-08,1990
Brage,Gais,1,1,3948,Erik Fredriksson,NA,1990-04-13,1990
Öster,Hammarby,5,2,3394,Christer Drottz,NA,1990-04-16,1990
Örebro,Malmö FF,0,0,8374,Bo Helén,NA,1990-04-16,1990
Halmstad,Örgryte,0,1,4260,Örjan Andersson,NA,1990-04-16,1990
IFK Göteborg,AIK,5,0,3528,Germund Nilsson,NA,1990-04-16,1990
Djurgården,IFK Norrköping,0,2,3824,Karl-Erik Davidsen,NA,1990-04-16,1990
Gais,IFK Norrköping,2,0,4506,Bo Karlsson,NA,1990-04-19,1990
AIK,Halmstad,2,1,2251,Anders Frisk,NA,1990-04-19,1990
Öster,Örgryte,1,0,1991,Christer Fällström,NA,1990-04-21,1990
Hammarby,Malmö FF,0,1,4673,Erik Fredriksson,NA,1990-04-22,1990
IFK Göteborg,Djurgården,2,1,3930,Leif Sundell,NA,1990-04-22,1990
Brage,Örebro,0,1,3134,Rune Larsson,NA,1990-04-22,1990
Örgryte,Hammarby,3,0,1678,Germund Nilsson,NA,1990-04-29,1990
IFK Norrköping,AIK,4,1,6401,Bo Persson,NA,1990-04-29,1990
Malmö FF,Gais,0,0,4481,Lars Carlsson,NA,1990-04-29,1990
Halmstad,IFK Göteborg,1,0,4589,Håkan Lundgren,NA,1990-04-29,1990
Djurgården,Brage,1,1,1754,Örjan Andersson,NA,1990-04-29,1990
Örebro,Öster,0,0,7284,Anders Frisk,NA,1990-05-01,1990
AIK,Örgryte,1,0,2932,Bo Helén,NA,1990-05-03,1990
IFK Norrköping,Malmö FF,1,0,4459,Christer Drottz,NA,1990-05-05,1990
Öster,IFK Göteborg,2,0,5823,Per-Olof Ståhl,NA,1990-05-06,1990
Hammarby,Djurgården,3,0,7152,Leif Sundell,NA,1990-05-06,1990
Gais,Örebro,0,1,5141,Bo Persson,NA,1990-05-06,1990
Brage,Halmstad,1,1,3354,Bo Karlsson,NA,1990-05-06,1990
Örebro,Hammarby,4,1,6409,Kire Klenkovski,NA,1990-05-13,1990
Malmö FF,AIK,2,3,4173,Bo Karlsson,NA,1990-05-13,1990
Halmstad,IFK Norrköping,0,2,4759,Erik Fredriksson,NA,1990-05-13,1990
IFK Göteborg,Brage,1,0,1504,Christer Fällström,NA,1990-05-13,1990
Djurgården,Öster,4,0,2502,Lennart Sundqvist,NA,1990-05-13,1990
Örgryte,Gais,2,0,5952,Rune Larsson,NA,1990-05-14,1990
AIK,Djurgården,1,0,18948,Lars Carlsson,NA,1990-05-16,1990
Öster,Halmstad,2,0,2361,Germund Nilsson,NA,1990-05-17,1990
IFK Norrköping,Örebro,2,2,8843,Leif Sundell,NA,1990-05-17,1990
Malmö FF,Örgryte,0,2,3142,Håkan Lundgren,NA,1990-05-17,1990
Hammarby,Brage,3,1,3432,Anders Frisk,NA,1990-05-17,1990
Gais,IFK Göteborg,0,1,14144,Erik Fredriksson,NA,1990-05-17,1990
Örebro,AIK,3,0,8694,Lennart Elofson,NA,1990-05-20,1990
Halmstad,Malmö FF,1,2,2739,Rune Larsson,NA,1990-05-20,1990
IFK Göteborg,Hammarby,2,2,3692,Bo Karlsson,NA,1990-05-20,1990
Djurgården,Gais,2,1,3014,Håkan Lundgren,NA,1990-05-20,1990
Brage,Öster,1,1,3727,Bo Helén,NA,1990-05-20,1990
Örgryte,IFK Norrköping,1,1,3024,Leif Sundell,NA,1990-05-21,1990
Örebro,IFK Göteborg,2,6,6132,Rune Larsson,NA,1990-07-22,1990
IFK Norrköping,Hammarby,3,1,7378,Lennart Elofson,NA,1990-07-22,1990
Malmö FF,Öster,1,1,5338,Bo Persson,NA,1990-07-22,1990
Halmstad,Djurgården,0,0,4727,Christer Fällström,NA,1990-07-22,1990
AIK,Gais,2,2,2761,Örjan Andersson,NA,1990-07-22,1990
Örgryte,Brage,1,3,2029,Lennart Sundqvist,NA,1990-07-23,1990
Hammarby,Gais,0,2,4023,Germund Nilsson,NA,1990-07-25,1990
Öster,AIK,1,0,2429,Håkan Lundgren,NA,1990-07-26,1990
Djurgården,Örgryte,7,1,1504,Per-Olof Ståhl,NA,1990-07-26,1990
Halmstad,Örebro,3,0,4249,Lars Carlsson,NA,1990-07-30,1990
IFK Göteborg,Malmö FF,0,0,6330,Leif Sundell,NA,1990-07-30,1990
Brage,IFK Norrköping,1,1,5416,Christer Drottz,NA,1990-07-30,1990
Gais,Halmstad,0,0,3501,Erik Fredriksson,NA,1990-08-01,1990
AIK,Hammarby,2,0,8189,Bo Helén,NA,1990-08-01,1990
Örgryte,IFK Göteborg,0,3,6578,Håkan Lundgren,NA,1990-08-02,1990
Örebro,Djurgården,0,1,4461,Lennart Sundqvist,NA,1990-08-02,1990
IFK Norrköping,Öster,2,2,5581,Germund Nilsson,NA,1990-08-02,1990
Malmö FF,Brage,0,1,4226,Bo Karlsson,NA,1990-08-02,1990
Öster,Malmö FF,1,0,5352,Örjan Andersson,NA,1990-08-05,1990
IFK Göteborg,Örebro,1,0,3330,Karl-Erik Davidsen,NA,1990-08-05,1990
Djurgården,Halmstad,2,0,2122,Anders Frisk,NA,1990-08-05,1990
Brage,Örgryte,1,1,4948,Rune Larsson,NA,1990-08-05,1990
Hammarby,IFK Norrköping,2,0,3703,Leif Sundell,NA,1990-08-06,1990
Gais,AIK,1,0,3853,Per-Olof Ståhl,NA,1990-08-06,1990
Örgryte,AIK,0,1,1510,Kire Klenkovski,NA,1990-08-12,1990
Örebro,Gais,1,0,4298,Christer Fällström,NA,1990-08-12,1990
Malmö FF,IFK Norrköping,2,0,5892,Erik Fredriksson,NA,1990-08-12,1990
Halmstad,Brage,2,1,3571,Lennart Sundqvist,NA,1990-08-12,1990
IFK Göteborg,Öster,2,0,6546,Per-Olof Ståhl,NA,1990-08-13,1990
Djurgården,Hammarby,9,1,8768,Håkan Lundgren,NA,1990-08-13,1990
AIK,Malmö FF,1,1,4759,Leif-Göte Enternäs,NA,1990-08-15,1990
Öster,Djurgården,3,1,3879,Lennart Elofson,NA,1990-08-16,1990
IFK Norrköping,Halmstad,3,1,2717,Rune Larsson,NA,1990-08-16,1990
Hammarby,Örebro,0,2,2503,Per-Olof Ståhl,NA,1990-08-16,1990
Gais,Örgryte,2,0,5137,Bo Karlsson,NA,1990-08-16,1990
Brage,IFK Göteborg,2,1,4183,Örjan Andersson,NA,1990-08-16,1990
Öster,Brage,1,2,3136,Anders Frisk,NA,1990-08-19,1990
IFK Norrköping,Örgryte,1,2,4013,Christer Fällström,NA,1990-08-19,1990
Malmö FF,Halmstad,5,0,5126,Bo Helén,NA,1990-08-19,1990
Hammarby,IFK Göteborg,2,4,2422,Lars Carlsson,NA,1990-08-19,1990
Gais,Djurgården,0,0,3746,Leif Sundell,NA,1990-08-19,1990
AIK,Örebro,1,0,3921,Bo Persson,NA,1990-08-19,1990
Örebro,IFK Norrköping,1,0,4281,Bo Karlsson,NA,1990-08-25,1990
Örgryte,Malmö FF,0,3,3416,Karl-Erik Davidsen,NA,1990-08-26,1990
Halmstad,Öster,2,0,4629,Kire Klenkovski,NA,1990-08-26,1990
Brage,Hammarby,1,1,6088,Bo Persson,NA,1990-08-26,1990
IFK Göteborg,Gais,0,0,16547,Christer Fällström,NA,1990-08-27,1990
Djurgården,AIK,2,1,13412,Bo Helén,NA,1990-08-27,1990
Örgryte,Öster,2,3,1407,Leif Sundell,NA,1990-09-02,1990
Örebro,Brage,1,1,3558,Håkan Lundgren,NA,1990-09-02,1990
IFK Norrköping,Gais,3,0,2605,Bo Helén,NA,1990-09-02,1990
Malmö FF,Hammarby,0,0,6426,Bo Persson,NA,1990-09-02,1990
Halmstad,AIK,2,2,4781,Bo Karlsson,NA,1990-09-02,1990
Djurgården,IFK Göteborg,2,0,3437,Germund Nilsson,NA,1990-09-02,1990
IFK Göteborg,Halmstad,3,1,2024,Bo Helén,NA,1990-09-08,1990
Öster,Örebro,0,0,3074,Erik Fredriksson,NA,1990-09-09,1990
Brage,Djurgården,0,0,3855,Bo Persson,NA,1990-09-09,1990
AIK,IFK Norrköping,1,3,3362,Anders Frisk,NA,1990-09-09,1990
Hammarby,Örgryte,4,2,1685,Lennart Elofson,NA,1990-09-10,1990
