Kapitel,Paragraf,Ord
1,1,det
1,1,var
1,1,en
1,1,skön
1,1,höstdag
1,1,mot
1,1,slutet
1,1,av
1,1,trettiotalet
1,1,på
1,1,den
1,1,tiden
1,1,fanns
1,1,i
1,1,uppsala
1,1,ett
1,1,högt
1,1,gult
1,1,tvåvåningshus
1,1,som
1,1,stod
1,1,underligt
1,1,ensamt
1,1,på
1,1,en
1,1,liten
1,1,äng
1,1,långt
1,1,borta
1,1,i
1,1,en
1,1,utkant
1,1,av
1,1,staden
1,1,det
1,1,var
1,1,ett
1,1,rätt
1,1,ruskigt
1,1,och
1,1,otrevligt
1,1,hus
1,1,men
1,1,det
1,1,förskönades
1,1,av
1,1,den
1,1,massa
1,1,vildvin
1,1,som
1,1,växte
1,1,där
1,1,och
1,1,som
1,1,på
1,1,solsidan
1,1,krälade
1,1,så
1,1,högt
1,1,uppför
1,1,den
1,1,gula
1,1,väggen
1,1,att
1,1,det
1,1,alldeles
1,1,omramade
1,1,de
1,1,tre
1,1,fönstren
1,1,i
1,1,övervåningen
1,2,i
1,2,ett
1,2,rum
1,2,innanför
1,2,ett
1,2,av
1,2,dessa
1,2,inramade
1,2,fönster
1,2,satt
1,2,en
1,2,student
1,2,och
1,2,drack
1,2,sitt
1,2,morgonkaffe
1,2,han
1,2,var
1,2,en
1,2,lång
1,2,vacker
1,2,karl
1,2,med
1,2,ett
1,2,fint
1,2,utseende
1,2,håret
1,2,bar
1,2,han
1,2,högt
1,2,uppstruket
1,2,ur
1,2,pannan
1,2,det
1,2,krusade
1,2,sig
1,2,vackert
1,2,och
1,2,en
1,2,lugg
1,2,ville
1,2,beständigt
1,2,välta
1,2,ned
1,2,mot
1,2,ögonen
1,2,han
1,2,var
1,2,klädd
1,2,i
1,2,en
1,2,bekväm
1,2,och
1,2,ledig
1,2,dräkt
1,2,men
1,2,var
1,2,rätt
1,2,elegant
1,3,han
1,3,hade
1,3,det
1,3,fint
1,3,i
1,3,sitt
1,3,rum
1,3,där
1,3,fanns
1,3,en
1,3,god
1,3,soffa
1,3,och
1,3,stoppade
1,3,stolar
1,3,stort
1,3,skrivbord
1,3,och
1,3,präktiga
1,3,bokhyllor
1,3,men
1,3,nästan
1,3,inga
1,3,böcker
1,4,innan
1,4,han
1,4,hade
1,4,hunnit
1,4,dricka
1,4,sitt
1,4,kaffe
1,4,kom
1,4,en
1,4,student
1,4,in
1,4,till
1,4,honom
1,4,det
1,4,var
1,4,en
1,4,av
1,4,helt
1,4,annat
1,4,slag
1,4,en
1,4,liten
1,4,skulderbred
1,4,karl
1,4,satt
1,4,och
1,4,stark
1,4,ful
1,4,med
1,4,stort
1,4,ansikte
1,4,tunt
1,4,hår
1,4,och
1,4,grov
1,4,hy
1,5,»du
1,5,hede»
1,5,sade
1,5,han
1,5,»jag
1,5,är
