Kapitel,Paragraf,Ord
1,1,äntligen
1,1,stod
1,1,prästen
1,1,i
1,1,predikstolen
1,2,församlingens
1,2,huvuden
1,2,lyftes
1,2,så
1,2,där
1,2,var
1,2,han
1,2,ändå
1,2,det
1,2,skulle
1,2,inte
1,2,bli
1,2,mässfall
1,2,denna
1,2,söndagen
1,2,såsom
1,2,den
1,2,förra
1,2,och
1,2,många
1,2,söndagar
1,2,förut
1,3,prästen
1,3,var
1,3,ung
1,3,hög
1,3,smärt
1,3,och
1,3,strålande
1,3,vacker
1,3,om
1,3,man
1,3,hade
1,3,välvt
1,3,en
1,3,hjälm
1,3,över
1,3,hans
1,3,huvud
1,3,och
1,3,hängt
1,3,svärd
1,3,och
1,3,brynja
1,3,på
1,3,honom
1,3,skulle
1,3,man
1,3,ha
1,3,kunnat
1,3,hugga
1,3,honom
1,3,i
1,3,marmor
1,3,och
1,3,uppkalla
1,3,bilden
1,3,efter
1,3,den
1,3,skönaste
1,3,av
1,3,atenare
1,4,prästen
1,4,hade
1,4,en
1,4,skalds
1,4,djupa
1,4,ögon
1,4,och
1,4,en
1,4,fältherres
1,4,fasta
1,4,runda
1,4,haka
1,4,allt
1,4,hos
1,4,honom
1,4,var
1,4,skönt
1,4,fint
1,4,uttrycksfullt
1,4,genomglödgat
1,4,av
1,4,snille
1,4,och
1,4,andligt
1,4,liv
1,5,folket
1,5,i
1,5,kyrkan
1,5,kände
1,5,sig
1,5,underligt
1,5,kuvat
1,5,vid
1,5,att
1,5,se
1,5,honom
1,5,sådan
1,5,det
1,5,var
1,5,mera
1,5,vant
1,5,vid
1,5,att
1,5,han
1,5,kom
1,5,raglande
1,5,ut
1,5,från
1,5,krogen
1,5,i
1,5,sällskap
1,5,med
1,5,glada
1,5,kamrater
1,5,sådana
1,5,som
1,5,beerencreutz
1,5,översten
1,5,med
1,5,de
1,5,tjocka
1,5,vita
1,5,mustascherna
1,5,och
1,5,den
1,5,starke
1,5,kapten
1,5,kristian
1,5,bergh
1,6,han
1,6,hade
1,6,supit
1,6,så
1,6,förfärligt
1,6,att
1,6,han
1,6,inte
1,6,på
1,6,flera
1,6,veckor
1,6,hade
1,6,kunnat
1,6,sköta
1,6,sin
1,6,tjänst
1,6,och
1,6,församlingen
1,6,hade
1,6,måst
1,6,klaga
1,6,på
1,6,honom
1,6,först
1,6,hos
1,6,hans
1,6,prost
1,6,och
1,6,sedan
1,6,hos
1,6,biskop
1,6,och
1,6,domkapitel
1,6,nu
1,6,var
1,6,biskopen
1,6,kommen
1,6,till
1,6,socknen
1,6,för
1,6,att
1,6,hålla
1,6,räfst
1,6,och
1,6,visitation
1,6,han
1,6,satt
1,6,i
1,6,koret
1,6,med
1,6,guldkorset
1,6,på
1,6,bröstet
1,6,skolpräster
1,6,från
1,6,karlstad
1,6,och
1,6,präster
1,6,från
1,6,grannförsamlingarna
1,6,sutto
1,6,runtomkring
1,6,honom
1,7,det
1,7,var
1,7,inte
1,7,tvivel
1,7,om
1,7,att
1,7,prästens
1,7,uppförande
1,7,hade
1,7,gått
1,7,över
1,7,det
1,7,tillåtnas
1,7,gräns
1,7,då
1,7,på
1,7,adertonhundratjugotalet
1,7,var
1,7,man
1,7,överseende
1,7,i
1,7,fråga
1,7,om
1,7,att
1,7,dricka
1,7,men
1,7,denna
1,7,mannen
1,7,hade
1,7,försummat
1,7,sitt
1,7,ämbete
1,7,för
1,7,dryckenskapens
1,7,skull
1,7,och
1,7,nu
1,7,skulle
1,7,han
1,7,förlora
1,7,det
1,8,han
1,8,stod
1,8,på
1,8,predikstolen
1,8,och
1,8,väntade
1,8,medan
1,8,sista
1,8,versen
1,8,av
1,8,predikstolspsalmen
1,8,sjöngs
1,9,det
1,9,kom
1,9,en
1,9,visshet
1,9,över
1,9,honom
1,9,medan
1,9,han
1,9,stod
1,9,där
1,9,att
1,9,han
1,9,hade
1,9,idel
1,9,fiender
1,9,i
1,9,kyrkan
1,9,fiender
1,9,i
1,9,alla
1,9,bänkar
1,9,bland
1,9,herrskaperna
1,9,på
1,9,läktaren
1,9,bland
1,9,bönderna
1,9,nere
1,9,i
1,9,kyrkan
1,9,bland
1,9,nattvardsbarnen
1,9,i
1,9,koret
1,9,hade
1,9,han
1,9,fiender
1,9,idel
1,9,fiender
1,9,det
1,9,var
1,9,en
1,9,fiende
1,9,som
1,9,trampade
1,9,orgeln
1,9,en
1,9,fiende
1,9,som
1,9,spelade
1,9,den
1,9,i
1,9,kyrkovärdarnas
1,9,bänk
1,9,hade
1,9,han
1,9,fiender
1,9,alla
1,9,hatade
1,9,honom
1,9,alltifrån
1,9,de
1,9,små
1,9,barnen
1,9,som
1,9,hade
1,9,burits
1,9,in
1,9,i
1,9,kyrkan
1,9,ända
1,9,till
1,9,kyrkvaktaren
1,9,en
1,9,stel
1,9,och
1,9,styv
1,9,soldat
1,9,som
1,9,hade
1,9,varit
1,9,med
1,9,vid
1,9,leipzig
1,10,prästen
1,10,skulle
1,10,ha
1,10,velat
1,10,störta
1,10,ned
1,10,på
1,10,sina
1,10,knän
1,10,och
1,10,bedja
1,10,dem
1,10,om
1,10,förbarmande
1,11,men
1,11,ögonblicket
1,11,därpå
1,11,kom
1,11,en
1,11,dov
1,11,vrede
1,11,över
1,11,honom
1,11,han
1,11,mindes
1,11,nog
1,11,hurudan
1,11,han
1,11,hade
1,11,varit
1,11,då
1,11,han
1,11,för
1,11,ett
1,11,år
1,11,sedan
1,11,besteg
1,11,denna
1,11,predikstol
1,11,för
1,11,första
1,11,gången
1,11,han
1,11,var
1,11,en
1,11,tadelfri
1,11,man
1,11,den
1,11,gången
1,11,och
1,11,nu
1,11,stod
1,11,han
1,11,där
1,11,och
1,11,såg
1,11,ned
1,11,på
1,11,mannen
1,11,med
1,11,guldkorset
1,11,om
1,11,halsen
1,11,som
1,11,var
1,11,ditkommen
1,11,för
1,11,att
1,11,döma
1,11,honom
1,12,medan
1,12,han
1,12,läste
1,12,upp
1,12,inledningen
1,12,sköljde
1,12,blodvåg
1,12,efter
1,12,blodvåg
1,12,upp
1,12,i
1,12,hans
1,12,ansikte:
1,12,det
1,12,var
1,12,vreden
1,13,det
1,13,var
1,13,nog
1,13,sant
1,13,att
1,13,han
1,13,hade
1,13,supit
1,13,men
1,13,vem
1,13,hade
1,13,rätt
1,13,att
1,13,anklaga
1,13,honom
1,13,därför?
1,13,hade
1,13,någon
1,13,sett
1,13,prästgården
1,13,där
1,13,han
1,13,skulle
1,13,leva?
1,13,granskogen
1,13,stod
1,13,mörk
1,13,och
1,13,dyster
1,13,tätt
1,13,inpå
1,13,fönstren
1,13,fukten
1,13,dröp
1,13,ned
1,13,genom
1,13,de
1,13,svarta
1,13,taken
1,13,utför
1,13,de
1,13,mögliga
1,13,väggarna
1,13,behövdes
1,13,det
1,13,inte
1,13,brännvin
1,13,för
1,13,att
1,13,kunna
1,13,hålla
1,13,modet
1,13,uppe
1,13,då
1,13,regnet
1,13,eller
1,13,yrsnön
1,13,jagade
1,13,in
1,13,genom
1,13,bräckta
1,13,rutor
1,13,då
1,13,den
1,13,vanskötta
1,13,jorden
1,13,inte
1,13,ville
1,13,ge
1,13,bröd
1,13,nog
1,13,för
1,13,att
1,13,hålla
1,13,hungern
1,13,fjärran?
1,14,han
1,14,tänkte
1,14,att
1,14,han
1,14,hade
