"Totalkonsumtion"

"Vara";"Tabelluppgifter";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019 prel.";"2020 prel."
"Vetemjöl";"Kilo eller liter per person och år";50.94;51.91;51.24;50.70;49.82;49.66;48.27;46.81;45.51;45.56;45.44;45.24;43.52;44.57;45.38;44.30;45.45;45.84;43.63;45.62;46.99;47.19;47.48;47.66;48.93;49.27;49.43;49.86;50.14;50.79;51.71;50.98;52.16;53.54;53.50;51.77;51.25;53.82;55.10;54.40;59.57;56.49;55.78;57.13;52.46;52.12;52.50;50.39;53.56;48.96;48.22;45.21;46.66;46.20;46.12;44.44;45.08;44.77;45.04;43.19;..
"Rågmjöl";"Kilo eller liter per person och år";15.28;14.10;14.18;13.76;13.75;12.90;12.44;12.18;12.19;11.33;11.29;10.76;11.09;11.11;10.98;11.15;11.65;11.88;11.87;11.76;12.30;12.16;11.64;12.08;12.10;11.83;11.63;11.11;11.00;10.24;10.00;9.67;8.80;8.32;7.78;9.22;9.20;7.69;9.07;8.60;8.31;8.23;8.48;7.60;7.52;8.28;8.05;8.46;7.84;7.31;7.01;7.01;6.42;6.78;6.52;6.35;6.59;6.32;5.95;4.70;..
"Gryn och mjöl av ris";"Kilo eller liter per person och år";1.36;..;..;..;1.40;1.55;1.48;1.63;1.57;1.56;1.70;1.86;2.08;2.04;1.96;1.77;1.84;1.94;1.91;1.97;2.31;2.48;2.73;2.87;2.72;2.90;3.65;3.50;3.59;3.65;4.17;4.36;4.53;4.61;4.84;4.40;3.47;3.81;4.14;4.36;4.33;4.78;4.98;5.54;5.85;5.89;5.87;6.12;6.36;5.64;5.88;5.98;5.52;5.72;5.89;6.24;6.56;5.90;5.92;6.83;..
"Gryn och mjöl av havre och korn m.m.";"Kilo eller liter per person och år";3.14;..;..;..;2.13;1.95;2.27;2.31;2.22;2.26;2.29;2.26;2.17;2.40;2.45;2.29;2.27;2.30;2.25;2.15;1.97;1.96;2.08;2.03;2.21;2.42;2.45;2.21;2.31;2.51;2.75;2.65;2.66;2.73;2.65;2.72;2.87;2.77;3.64;3.25;3.23;3.72;4.37;4.54;5.06;4.77;5.22;6.29;4.97;4.64;5.01;4.47;4.33;5.16;5.79;6.29;5.90;4.57;4.62;4.73;..
"SUMMA MJÖL OCH GRYN";"Kilo eller liter per person och år";70.72;66.01;65.42;64.45;67.10;66.07;64.46;62.94;61.49;60.71;60.72;60.12;58.86;60.12;60.77;59.51;61.21;61.96;59.65;61.49;63.57;63.79;63.93;64.64;65.96;66.42;67.16;66.68;67.05;67.20;68.63;67.66;68.16;69.19;68.77;68.11;66.79;68.09;71.95;70.61;75.43;73.21;73.61;74.81;70.88;71.07;71.64;71.26;72.73;66.55;66.11;62.66;62.92;63.86;64.32;63.32;64.13;61.57;61.53;59.45;..
"Nötkött inklusive kalvkött, vara med ben";"Kilo eller liter per person och år";18.78;19.77;19.82;19.99;19.58;18.75;19.39;19.37;19.01;19.14;18.95;16.76;15.40;15.98;18.27;19.89;20.41;19.26;18.17;18.69;18.30;17.39;16.90;17.02;15.83;16.54;16.17;17.30;16.75;16.92;17.30;17.31;17.12;17.41;18.02;18.51;19.35;20.10;20.42;21.58;22.55;21.74;24.39;25.17;25.42;25.63;25.96;25.54;25.10;25.04;25.72;26.25;25.88;26.08;26.21;26.11;25.94;24.90;24.51;24.41;22.50
"Fårkött, vara med ben";"Kilo eller liter per person och år";0.25;0.27;0.25;0.25;0.31;0.28;0.33;0.34;0.37;0.51;0.55;0.53;0.53;0.57;0.58;0.60;0.63;0.76;0.69;0.68;0.65;0.70;0.64;0.73;0.67;0.74;0.78;0.83;0.72;0.68;0.77;0.85;0.69;0.63;0.67;0.72;0.77;0.79;0.82;0.91;0.94;1.03;1.00;1.09;1.00;1.18;1.32;1.33;1.43;1.61;1.42;1.55;1.58;1.65;1.72;1.76;1.87;1.91;1.86;1.66;1.60
"Hästkött, vara med ben";"Kilo eller liter per person och år";1.93;1.85;1.61;1.37;1.50;1.42;1.29;0.97;0.92;0.95;0.87;0.68;0.71;0.81;0.69;0.63;0.54;0.57;0.47;0.45;0.42;0.34;0.32;0.36;0.31;0.35;0.43;0.46;0.38;0.38;0.37;0.39;0.36;0.37;0.35;0.42;0.38;0.36;0.30;0.31;0.26;0.21;0.17;0.20;0.19;0.17;0.14;0.14;0.15;0.15;0.16;0.18;0.16;0.13;0.09;0.10;0.09;0.08;0.07;0.07;0.10
"Griskött, vara med ben";"Kilo eller liter per person och år";24.49;24.59;25.07;24.91;25.07;25.80;24.71;26.17;27.50;26.70;28.04;28.55;28.66;28.01;30.89;32.09;34.30;34.72;34.69;35.66;34.52;33.50;31.66;30.69;29.42;29.84;29.70;30.28;31.70;31.43;30.61;30.93;32.60;32.50;33.99;35.55;34.95;35.46;37.10;35.90;35.35;34.55;36.01;35.83;36.33;35.87;35.60;36.11;36.26;36.11;36.97;37.29;35.98;36.59;35.11;34.12;33.53;32.79;32.47;30.54;29.60
"Renkött, vara med ben";"Kilo eller liter per person och år";0.27;..;..;..;..;..;0.27;0.33;0.37;0.31;0.29;0.27;0.22;0.22;0.17;0.17;0.16;0.15;0.12;0.22;0.18;0.20;0.24;0.24;0.24;0.24;0.07;0.24;0.25;0.24;0.30;0.35;0.31;0.36;0.22;0.25;0.16;0.11;0.13;0.12;0.17;0.16;0.17;0.16;0.15;0.19;0.28;0.21;0.20;0.17;0.17;0.18;0.15;0.14;0.13;0.11;0.13;0.12;0.10;0.13;0.10
"Fjäderfäkött, urtagen vara";"Kilo eller liter per person och år";1.55;1.84;1.84;1.92;2.53;2.68;2.75;3.20;3.57;3.49;3.34;3.36;3.95;4.19;4.53;4.82;4.71;4.65;4.60;5.11;4.91;5.63;5.51;5.37;5.33;5.33;5.24;4.54;5.35;5.82;5.89;6.52;7.12;7.48;8.18;8.69;9.56;9.31;9.82;11.46;12.79;13.91;14.81;14.30;14.87;15.72;16.28;16.69;18.09;17.51;18.37;18.74;18.99;20.27;21.39;22.40;23.65;23.39;22.28;22.40;21.50
"Kött av vilt";"Kilo eller liter per person och år";0.75;0.76;0.74;0.74;0.74;0.74;0.74;0.72;0.75;0.79;0.85;0.84;0.92;1.00;1.07;1.07;1.11;1.37;1.64;1.95;2.39;2.69;3.18;3.04;2.71;2.43;2.36;2.46;2.54;2.63;2.78;2.56;2.47;2.32;2.17;2.02;1.97;1.94;2.08;2.13;2.12;2.17;2.06;2.10;1.96;1.98;1.76;1.83;1.91;1.91;1.95;1.98;2.02;2.01;1.83;1.81;1.80;1.98;1.94;2.08;2.00
