Kapitel,Paragraf,Ord
1,1,det
1,1,var
1,1,en
1,1,afton
1,1,i
1,1,början
1,1,av
1,1,maj
1,1,den
1,1,lilla
1,1,trädgården
1,1,på
1,1,mosebacke
1,1,hade
1,1,ännu
1,1,icke
1,1,blivit
1,1,öppnad
1,1,för
1,1,allmänheten
1,1,och
1,1,rabatterna
1,1,voro
1,1,ej
1,1,uppgrävda;
1,1,snödropparne
1,1,hade
1,1,arbetat
1,1,sig
1,1,upp
1,1,genom
1,1,fjolårets
1,1,lövsamlingar
1,1,och
1,1,höllo
1,1,just
1,1,på
1,1,att
1,1,sluta
1,1,sin
1,1,korta
1,1,verksamhet
1,1,för
1,1,att
1,1,lämna
1,1,plats
1,1,åt
1,1,de
1,1,ömtåligare
1,1,saffransblommorna
1,1,vilka
1,1,tagit
1,1,skydd
1,1,under
1,1,ett
1,1,ofruktsamt
1,1,päronträd;
1,1,syrenerna
1,1,väntade
1,1,på
1,1,sydlig
1,1,vind
1,1,för
1,1,att
1,1,få
1,1,gå
1,1,i
1,1,blom
1,1,men
1,1,lindarne
1,1,bjödo
1,1,ännu
1,1,kärleksfilter
1,1,i
1,1,sina
1,1,obrustna
1,1,knoppar
1,1,åt
1,1,bofinkarne
1,1,som
1,1,börjat
1,1,bygga
1,1,sina
1,1,lavklädda
1,1,bon
1,1,mellan
1,1,stam
1,1,och
1,1,gren;
1,1,ännu
1,1,hade
1,1,ingen
1,1,mänskofot
1,1,trampat
1,1,sandgångarne
1,1,sedan
1,1,sista
1,1,vinterns
1,1,snö
1,1,gått
1,1,bort
1,1,och
1,1,därför
1,1,levdes
1,1,ett
1,1,obesvärat
1,1,liv
1,1,därinne
1,1,av
1,1,både
1,1,djur
1,1,och
1,1,blommor
1,1,gråsparvarne
1,1,höllo
1,1,på
1,1,att
1,1,samla
1,1,upp
1,1,skräp
1,1,som
1,1,de
1,1,sedan
1,1,gömde
1,1,under
1,1,takpannorna
1,1,på
1,1,navigationsskolans
1,1,hus;
1,1,de
1,1,drogos
1,1,om
1,1,spillror
1,1,av
1,1,rakethylsor
1,1,från
1,1,sista
1,1,höstfyrverkeriet
1,1,de
1,1,plockade
1,1,halmen
1,1,från
1,1,unga
1,1,träd
1,1,som
1,1,året
1,1,förut
1,1,sluppit
1,1,ur
1,1,skolan
1,1,på
1,1,rosendal
1,1,och
1,1,allting
1,1,sågo
1,1,de
1,1,de
1,1,hittade
1,1,barège-lappar
1,1,i
1,1,bersåer
1,1,och
1,1,kunde
1,1,mellan
1,1,stickorna
1,1,på
1,1,en
1,1,bänkfot
1,1,draga
1,1,fram
1,1,hårtappar
1,1,efter
1,1,hundar
1,1,som
1,1,icke
1,1,slagits
1,1,där
1,1,sedan
1,1,josefinadagen
1,1,i
1,1,fjor
1,1,där
1,1,var
1,1,ett
