Name,Sign,Measure area,Date,Year,Value
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,NA,1850,5.32
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,NA,1851,5.95
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,NA,1852,6.1
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,NA,1853,5.47
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,NA,1854,6.43
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,NA,1855,4.83
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,NA,1856,4.58
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,NA,1857,6.64
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,NA,1858,6.94
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,NA,1859,6.63
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,NA,1860,4.92
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,NA,1861,5.53
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,NA,1862,4.65
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,NA,1863,6.75
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,NA,1864,4.5
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,NA,1865,5.48
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,NA,1866,5.39
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,NA,1867,3.23
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,NA,1868,6.4
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,NA,1869,5.6
